Partlist

Exported from isolator_v2.sch at 7/30/2017 10:14:05 PM

EAGLE Version 5.12.0 Copyright (c) 1988-2011 CadSoft

Part     Value          Device          Package           Library           Sheet
C341     100u           CPOL-USF        PANASONIC_F       rcl               3
C342     100u           CPOL-USF        PANASONIC_F       rcl               3
C343     100u           CPOL-USF        PANASONIC_F       rcl               4
C344     100u           CPOL-USF        PANASONIC_F       rcl               4
C351     1u             C-USC1206       C1206             rcl               3
C352     1u             C-USC1206       C1206             rcl               3
C353     1u             C-USC1206       C1206             rcl               4
C354     1u             C-USC1206       C1206             rcl               4
C361     1u             C-USC1206       C1206             rcl               3
C362     1u             C-USC1206       C1206             rcl               3
C363     1u             C-USC1206       C1206             rcl               4
C364     1u             C-USC1206       C1206             rcl               4
C371     1u             C-USC1206       C1206             rcl               3
C501     10u            C-USC1206       C1206             rcl               3
C502     10u            C-USC1206       C1206             rcl               3
C503     10u            C-USC1206       C1206             rcl               4
C504     10u            C-USC1206       C1206             rcl               4
D301     Green          LEDCHIPLED_1206 CHIPLED_1206      led               3
D302     Green          LEDCHIPLED_1206 CHIPLED_1206      led               3
D303     Green          LEDCHIPLED_1206 CHIPLED_1206      led               4
D304     Green          LEDCHIPLED_1206 CHIPLED_1206      led               4
D311     1N4148_SMD     1N4148_SMD      SOD123            smps              3
D312     1N4148_SMD     1N4148_SMD      SOD123            smps              3
D313     1N4148_SMD     1N4148_SMD      SOD123            smps              4
D314     1N4148_SMD     1N4148_SMD      SOD123            smps              4
D321     1N4148_SMD     1N4148_SMD      SOD123            smps              3
D322     1N4148_SMD     1N4148_SMD      SOD123            smps              3
D323     1N4148_SMD     1N4148_SMD      SOD123            smps              4
D324     1N4148_SMD     1N4148_SMD      SOD123            smps              4
D331     MMSZ5235B      ZD              SOD123            cdp               3
D332     MMSZ5235B      ZD              SOD123            cdp               3
D333     MMSZ5226B      ZD              SOD123            cdp               4
D334     MMSZ5226B      ZD              SOD123            cdp               4
J1       CARRIER-V2     CARRIER-V2      MA24-2            cdp               1
J2       PSU-V2         PSU-V2          MA06-2            cdp               3
J3       CLKBRD-V2      CLKBRD-V2       MA16-2            cdp               6
J4       MA24-2         MA24-2          MA24-2-HEADERONLY cdp               3
J10      MOD-V2         MOD-V2          MOD-V2            cdp               5
J11      MOD-V2         MOD-V2          MOD-V2            cdp               5
J12      MOD-V2         MOD-V2          MOD-V2            cdp               5
J13      MOD-V2         MOD-V2          MOD-V2            cdp               5
L101     BEAD           R-US_R1206      R1206             rcl               3
L181     BEAD           R-US_R1206      R1206             rcl               6
L281     BEAD           R-US_R1206      R1206             rcl               6
L401     BEAD           R-US_R1206      R1206             rcl               3
Q301     D44H11         D44H11          D2PACK            cdp               3
Q302     D45H11         D45H11          D2PACK            cdp               3
Q303     D44H11         D44H11          D2PACK            cdp               4
Q304     D44H11         D44H11          D2PACK            cdp               4
Q311     BC807-25SMD    BC807-25SMD     SOT23-BEC         transistor-pnp    3
Q312     BC817-25SMD    BC817-25SMD     SOT23-BEC         transistor-npn    3
Q313     BC807-25SMD    BC807-25SMD     SOT23-BEC         transistor-pnp    4
Q314     BC807-25SMD    BC807-25SMD     SOT23-BEC         transistor-pnp    4
R121     10k            R-US_R0603      R0603             rcl               1
R122     10k            R-US_R0603      R0603             rcl               1
R123     100            R-US_R0603      R0603             rcl               1
R124     22             R-US_R0603      R0603             rcl               1
R131     10k            R-US_R0603      R0603             rcl               6
R132     10k            R-US_R0603      R0603             rcl               6
R133     10k            R-US_R0603      R0603             rcl               6
R134     10k            R-US_R0603      R0603             rcl               6
R135     10k            R-US_R0603      R0603             rcl               6
R136     10k            R-US_R0603      R0603             rcl               6
R137     10k            R-US_R0603      R0603             rcl               6
R138     10k            R-US_R0603      R0603             rcl               6
R139     10k            R-US_R0603      R0603             rcl               6
R140     10k            R-US_R0603      R0603             rcl               6
R141     10k            R-US_R0603      R0603             rcl               6
R142     10k            R-US_R0603      R0603             rcl               6
R143     10k            R-US_R0603      R0603             rcl               6
R181     1              R-US_R1206      R1206             rcl               6
R281     1              R-US_R1206      R1206             rcl               6
R301     1k             R-US_R0603      R0603             rcl               3
R302     1k             R-US_R0603      R0603             rcl               3
R311     825            R-US_R0603      R0603             rcl               3
R312     825            R-US_R0603      R0603             rcl               3
R321     10k            R-US_R1206      R1206             rcl               3
R322     10k            R-US_R1206      R1206             rcl               3
R323     10k            R-US_R1206      R1206             rcl               4
R324     10k            R-US_R1206      R1206             rcl               4
R331     68.1           R-US_R1206      R1206             rcl               3
R332     68.1           R-US_R1206      R1206             rcl               3
R333     68.1           R-US_R1206      R1206             rcl               4
R334     68.1           R-US_R1206      R1206             rcl               4
R341     10             R-US_R1206      R1206             rcl               3
R342     10             R-US_R1206      R1206             rcl               3
R343     10             R-US_R1206      R1206             rcl               4
R344     10             R-US_R1206      R1206             rcl               4
R351     3.01k          R-US_R1206      R1206             rcl               3
R352     750            R-US_R1206      R1206             rcl               3
R353     1k             R-US_R1206      R1206             rcl               4
R354     649            R-US_R1206      R1206             rcl               4
R361     604            R-US_R1206      R1206             rcl               3
R362     1.50k          R-US_R1206      R1206             rcl               3
R363     1k             R-US_R1206      R1206             rcl               4
R364     2.0k           R-US_R1206      R1206             rcl               4
R371     499            R-US_R0603      R0603             rcl               3
R372     499            R-US_R0603      R0603             rcl               3
R373     499            R-US_R0603      R0603             rcl               4
R374     499            R-US_R0603      R0603             rcl               4
R382     1k             R-US_R0603      R0603             rcl               3
R401     0              R-US_R1206      R1206             rcl               1
R402     0              R-US_R1206      R1206             rcl               1
R403     0              R-US_R1206      R1206             rcl               1
R404     0              R-US_R1206      R1206             rcl               1
R405     0              R-US_R1206      R1206             rcl               1
R406     0              R-US_R1206      R1206             rcl               1
R407     0              R-US_R1206      R1206             rcl               1
R408     0              R-US_R1206      R1206             rcl               1
R409     0              R-US_R1206      R1206             rcl               1
R410     0              R-US_R1206      R1206             rcl               1
R411     0              R-US_R1206      R1206             rcl               1
R412     0              R-US_R1206      R1206             rcl               1
R413     0              R-US_R1206      R1206             rcl               2
R414     0              R-US_R1206      R1206             rcl               2
R415     0              R-US_R1206      R1206             rcl               2
R416     0              R-US_R1206      R1206             rcl               2
R417     0              R-US_R1206      R1206             rcl               2
R418     0              R-US_R1206      R1206             rcl               2
R419     0              R-US_R1206      R1206             rcl               2
R420     0              R-US_R1206      R1206             rcl               2
R421     0              R-US_R1206      R1206             rcl               2
R422     0              R-US_R1206      R1206             rcl               2
R423     0              R-US_R1206      R1206             rcl               2
R424     0              R-US_R1206      R1206             rcl               2
R425     0              R-US_R1206      R1206             rcl               2
R426     0              R-US_R1206      R1206             rcl               2
R427     0              R-US_R1206      R1206             rcl               2
R428     0              R-US_R1206      R1206             rcl               2
R429     0              R-US_R1206      R1206             rcl               2
R430     0              R-US_R1206      R1206             rcl               2
R431     0              R-US_R1206      R1206             rcl               2
R432     0              R-US_R1206      R1206             rcl               2
R433     0              R-US_R1206      R1206             rcl               2
R434     0              R-US_R1206      R1206             rcl               2
R435     0              R-US_R1206      R1206             rcl               2
R436     0              R-US_R1206      R1206             rcl               2
R501     0              R-US_R1206      R1206             rcl               3
R502     2.21k          R-US_R0603      R0603             rcl               3
R503     0              R-US_R1206      R1206             rcl               3
R504     2.21k          R-US_R0603      R0603             rcl               3
R505     475            R-US_R1206      R1206             rcl               4
R506     1.42k          R-US_R0603      R0603             rcl               4
R507     0              R-US_R1206      R1206             rcl               4
R508     866            R-US_R1206      R1206             rcl               4
R509     1.42k          R-US_R0603      R0603             rcl               4
R510     0              R-US_R1206      R1206             rcl               4
U111     74165FT        74165FT         TSSOP16           cdp               6
U112     74164FT        74164FT         TSSOP14           cdp               6
U113     74LVTH574      74LVTH574       TSSOP20           cdp               6
U114     74165FT        74165FT         TSSOP16           cdp               6
U115     74164FT        74164FT         TSSOP14           cdp               6
U116     74LVTH574      74LVTH574       TSSOP20           cdp               6
U121     DS90LV012      DS90LV012       SOT23-DBV         cdp               1
U181     78M33          78XXS           DPACK             cdp               6
U201     ADUM3402       ADUM3402        SO-16W            cdp               2
U202     ADUM3402       ADUM3402        SO-16W            cdp               2
U203     ADUM3402       ADUM3402        SO-16W            cdp               2
U211     ADUM3402       ADUM3402        SO-16W            cdp               2
U212     ADUM3402       ADUM3402        SO-16W            cdp               2
U213     ADUM3402       ADUM3402        SO-16W            cdp               2
U221     ADUM3402       ADUM3402        SO-16W            cdp               2
U222     ADUM3402       ADUM3402        SO-16W            cdp               2
U223     ADUM3402       ADUM3402        SO-16W            cdp               2
U231     ADUM3402       ADUM3402        SO-16W            cdp               2
U232     ADUM3402       ADUM3402        SO-16W            cdp               2
U233     ADUM3402       ADUM3402        SO-16W            cdp               2
U240     7404MT         7404MT          TSSOP14           cdp               2
U261     ADUM3401       ADUM3401        SO-16W            cdp               1
U262     ADUM3402       ADUM3402        SO-16W            cdp               1
U263     ADUM3401       ADUM3401        SO-16W            cdp               1
U271     74164FT        74164FT         TSSOP14           cdp               1
U272     74LVTH574      74LVTH574       TSSOP20           cdp               1
U281     78M33          78XXS           DPACK             cdp               6
U301     LME49710       AD811_SO8       SO8               analog-devices    3
U302     LME49710       AD811_SO8       SO8               analog-devices    3
U303     AD8655         AD811_SO8       SO8               analog-devices    4
U304     AD8655         AD811_SO8       SO8               analog-devices    4
U311     MAX6220        MAX6220         SO8               cdp               3
U312     LT1236S-10     LT1236S-10      SOIC8             linear-technology 3
U313     ADR4525        MAX6220         SO8               cdp               4
U314     ADR4525        MAX6220         SO8               cdp               4
U321     LM317BD2T      LM317BD2T       D2PACK            v-reg             3
U322     LM337          LM337LD2        D2PACK            cdp               3
U503     LM317BD2T      LM317BD2T       D2PACK            v-reg             4
U504     LM317BD2T      LM317BD2T       D2PACK            v-reg             4
