#Release 12.1 - par M.53d (lin64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Sat Jun 12 20:51:53 2010

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       nexys2_toplevel_map.ncd
#OUTPUT FILE:      nexys2_toplevel_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -5
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
B13,fx2<32>,IOB,IO_L05N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
B14,fx2<37>,IOB,IO_L04P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
B15,,DIFFMI,IP_L02P_0,UNUSED,,0,,,,,,,,,
B16,fx2<39>,IBUF,IO_L01P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
B17,,,GND,,,,,,,,,,,,
B18,buttons<0>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
C1,mem_addr<19>,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C2,mem_addr<18>,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C3,fx2<2>,IBUF,IO_L25P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
C4,fx2<3>,IBUF,IO,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
C5,fx2<6>,IBUF,IO_L23P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
C6,,,VCCO_0,,,0,,,,,2.50,,,,
C7,fx2<10>,IBUF,IO_L18P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
C8,,DIFFMI,IP_L16P_0,UNUSED,,0,,,,,,,,,
C9,fx2<15>,IBUF,IO_L14P_0/GCLK10,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
C10,,,GND,,,,,,,,,,,,
C11,fx2<26>,IOB,IO_L09P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C12,,DIFFMI,IP_L07P_0,UNUSED,,0,,,,,,,,,
C13,,,VCCO_0,,,0,,,,,2.50,,,,
C14,fx2<35>,IOB,IO_L03N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C15,,IBUF,IP,UNUSED,,0,,,,,,,,,
C16,,,TDO,,,,,,,,,,,,
C17,led_7seg_cat<7>,IOB,IO_L24N_1/LDC2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C18,led_7seg_an<1>,IOB,IO_L24P_1/LDC1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D1,mem_addr<22>,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D2,mem_addr<20>,IOB,IO_L02N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D3,flash_sts,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
D4,,,NC,,,,,,,,,,,,
D5,fx2<5>,IBUF,IO_L23N_0/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
D6,,,NC,,,,,,,,,,,,
D7,fx2<12>,IBUF,IO_L18N_0/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
D8,,DIFFSI,IP_L16N_0,UNUSED,,0,,,,,,,,,
D9,,DIFFS,IO_L14N_0/GCLK11,UNUSED,,0,,,,,,,,,
D10,fx2<19>,IBUF,IO_L11P_0/GCLK4,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
D11,fx2<23>,IBUF,IO_L09N_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
D12,,DIFFSI,IP_L07N_0,UNUSED,,0,,,,,,,,,
D13,,IBUF,IP,UNUSED,,0,,,,,,,,,
D14,fx2<36>,IBUF,IO_L03P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
D15,,,TMS,,,,,,,,,,,,
D16,led_7seg_cat<3>,IOB,IO_L23N_1/LDC0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D17,led_7seg_cat<2>,IOB,IO_L23P_1/HDC,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D18,buttons<1>,IBUF,IP/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
E1,mem_addr<15>,IOB,IO_L03N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E2,mem_addr<17>,IOB,IO_L03P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E3,,,NC,,,,,,,,,,,,
E4,,,NC,,,,,,,,,,,,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,,,NC,,,,,,,,,,,,
E7,fx2<8>,IBUF,IO_L19N_0/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
E8,fx2<13>,IBUF,IO_L17P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
E9,fx2<14>,IBUF,IO_L15P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
E10,fx2<24>,IOB,IO_L11N_0/GCLK5,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E11,fx2<27>,IBUF,IO_L08P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
E12,fx2<29>,IOB,IO_L06N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E13,fx2<33>,IBUF,IO,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
E14,,,VCCINT,,,,,,,,1.2,,,,
E15,,,NC,,,,,,,,,,,,
E16,,,NC,,,,,,,,,,,,
E17,led_upper<0>,IOB,IO,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E18,buttons<2>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
F1,mem_addr<9>,IOB,IO_L05P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F2,mem_addr<14>,IOB,IO_L05N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F3,,,VCCO_3,,,3,,,,,2.50,,,,
F4,led_upper<2>,IOB,IO,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F5,mem_wait,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
F6,,,VCCINT,,,,,,,,1.2,,,,
F7,fx2<7>,IBUF,IO_L19P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
F8,fx2<11>,IBUF,IO_L17N_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
F9,fx2<18>,IBUF,IO_L15N_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
F10,,DIFFMI,IP_L10P_0,UNUSED,,0,,,,,,,,,
F11,fx2<28>,IBUF,IO_L08N_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
F12,fx2<30>,IBUF,IO_L06P_0,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
F13,,,VCCINT,,,,,,,,1.2,,,,
F14,pmod_c<5>,IBUF,IO_L21N_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
F15,led_7seg_an<0>,IOB,IO_L21P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F16,,,VCCO_1,,,1,,,,,2.50,,,,
F17,led_7seg_an<3>,IOB,IO_L19N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F18,led_7seg_cat<1>,IOB,IO_L19P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G1,,IBUF,IP,UNUSED,,3,,,,,,,,,
G2,,,VCCAUX,,,,,,,,2.5,,,,
G3,mem_addr<10>,IOB,IO_L06P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G4,mem_addr<13>,IOB,IO_L06N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G5,mem_addr<11>,IOB,IO_L07N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G6,mem_addr<12>,IOB,IO_L07P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G7,,,GND,,,,,,,,,,,,
G8,,,VCCO_0,,,0,,,,,2.50,,,,
G9,fx2<17>,IBUF,IO,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
G10,,DIFFSI,IP_L10N_0,UNUSED,,0,,,,,,,,,
G11,,,VCCO_0,,,0,,,,,2.50,,,,
G12,,,GND,,,,,,,,,,,,
G13,pmod_c<2>,IBUF,IO_L20N_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
G14,led_7seg_cat<4>,IOB,IO_L20P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G15,pmod_c<0>,IBUF,IO_L18P_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
G16,pmod_c<6>,IBUF,IO_L18N_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
G17,,,VCCAUX,,,,,,,,2.5,,,,
G18,switches<0>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
H1,mem_addr<4>,IOB,IO_L10N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H2,mem_addr<5>,IOB,IO_L10P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H3,mem_addr<7>,IOB,IO_L09N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H4,mem_addr<3>,IOB,IO_L09P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H5,mem_clk,IOB,IO_L08N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H6,mem_addr<8>,IOB,IO_L08P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H7,,,VCCO_3,,,3,,,,,2.50,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCO_1,,,1,,,,,2.50,,,,
H13,buttons<3>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
H14,led_7seg_cat<6>,IOB,IO_L17P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H15,pmod_c<4>,IBUF,IO_L17N_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
H16,pmod_c<3>,IBUF,IO_L16P_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
H17,led_7seg_an<2>,IOB,IO_L16N_1/A0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H18,switches<1>,IBUF,IP/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
J1,mem_addr<1>,IOB,IO_L12P_3/LHCLK2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J2,mem_addr<2>,IOB,IO_L12N_3/LHCLK3/IRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J3,,,GND,,,,,,,,,,,,
J4,mem_adv,IOB,IO_L11N_3/LHCLK1,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J5,mem_addr<6>,IOB,IO_L11P_3/LHCLK0,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J6,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
J7,,IBUF,IP,UNUSED,,3,,,,,,,,,
J8,,,GND,,,,,,,,,,,,
J11,,,GND,,,,,,,,,,,,
J12,pmod_c<7>,IBUF,IO_L15P_1/A2,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
J13,pmod_d<0>,IBUF,IO_L15N_1/A1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
J14,pmod_d<7>,IOB,IO_L14N_1/A3/RHCLK7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J15,pmod_d<6>,IOB,IO_L14P_1/A4/RHCLK6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J16,pmod_c<1>,IBUF,IO_L13N_1/A5/RHCLK5,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
J17,led_7seg_cat<5>,IOB,IO_L13P_1/A6/RHCLK4/IRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J18,,,VCCO_1,,,1,,,,,2.50,,,,
K1,,,VCCO_3,,,3,,,,,2.50,,,,
K2,,IBUF,IP,UNUSED,,3,,,,,,,,,
K3,mem_addr<21>,IOB,IO_L13P_3/LHCLK4/TRDY2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K4,mem_ub,IOB,IO_L13N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K5,mem_lb,IOB,IO_L14N_3/LHCLK7,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K6,mem_addr<23>,IOB,IO_L14P_3/LHCLK6,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K7,,IBUF,IP,UNUSED,,3,,,,,,,,,
K8,,,GND,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,pmod_a<1>,IBUF,IO_L11N_1/A9/RHCLK1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
K13,pmod_a<4>,IBUF,IO_L11P_1/A10/RHCLK0,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
K14,pmod_d<4>,IOB,IO_L12N_1/A7/RHCLK3/TRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K15,pmod_d<5>,IOB,IO_L12P_1/A8/RHCLK2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K16,,,GND,,,,,,,,,,,,
K17,switches<3>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
K18,switches<2>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
L1,mem_data<0>,IOB,IO_L15P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
L2,mem_data<12>,IOB,IO_L15N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
L3,mem_data<8>,IOB,IO_L16P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
L4,mem_data<1>,IOB,IO_L16N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
L5,mem_data<9>,IOB,IO_L17N_3/VREF_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
L6,mem_data<2>,IOB,IO_L17P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
L7,,,VCCO_3,,,3,,,,,2.50,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,GND,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCO_1,,,1,,,,,2.50,,,,
L13,switches<5>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
L14,switches<4>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
L15,pmod_a<0>,IBUF,IO_L09N_1/A11,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
L16,pmod_a<5>,IBUF,IO_L09P_1/A12,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
L17,pmod_a<2>,IBUF,IO_L10N_1/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
L18,led_7seg_cat<0>,IOB,IO_L10P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M1,,IBUF,IP,UNUSED,,3,,,,,,,,,
M2,,,VCCAUX,,,,,,,,2.5,,,,
M3,mem_data<10>,IOB,IO_L18N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
M4,mem_data<3>,IOB,IO_L18P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
M5,mem_addr<16>,IOB,IO_L19P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M6,mem_data<11>,IOB,IO_L19N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCO_2,,,2,,,,,2.50,,,,
M9,,DIFFS,IO_L12N_2/D6/GCLK13,UNUSED,,2,,,,,,,,,
M10,,DIFFM,IO_L16P_2/M0,UNUSED,,2,,,,,,,,,
M11,,,VCCO_2,,,2,,,,,2.50,,,,
M12,,,GND,,,,,,,,,,,,
M13,pmod_b<0>,IBUF,IO_L05N_1/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
M14,pmod_a<6>,IBUF,IO_L05P_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
M15,pmod_a<3>,IBUF,IO_L07P_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
M16,pmod_a<7>,IBUF,IO_L07N_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,pmod_d<1>,IBUF,IO_L08N_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
N1,,IBUF,IP,UNUSED,,3,,,,,,,,,
N2,,IBUF,IP,UNUSED,,3,,,,,,,,,
N3,,,VCCO_3,,,3,,,,,2.50,,,,
N4,mem_data<13>,IOB,IO_L20P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
N5,mem_data<4>,IOB,IO_L20N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
N6,,,VCCINT,,,,,,,,1.2,,,,
N7,mem_we,IOB,IO_L07P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N8,vga_green<0>,IOB,IO_L09N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N9,usb_slrd,IOB,IO_L12P_2/D7/GCLK12,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N10,,DIFFS,IO_L16N_2/DIN/D0,UNUSED,,2,,,,,,,,,
N11,usb_data<4>,IOB,IO_L18N_2,TRISTATE,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N12,,,NC,,,,,,,,,,,,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,,,NC,,,,,,,,,,,,
N15,,,NC,,,,,,,,,,,,
N16,,,VCCO_1,,,1,,,,,2.50,,,,
N17,switches<6>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
N18,pmod_d<2>,IBUF,IO_L08P_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P1,mem_data<5>,IOB,IO_L21N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P2,mem_data<6>,IOB,IO_L21P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
P3,,,NC,,,,,,,,,,,,
P4,,,NC,,,,,,,,,,,,
P5,,,VCCINT,,,,,,,,1.2,,,,
P6,vga_green<2>,IOB,IO_L05N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P7,mem_cre,IOB,IO_L07N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P8,vga_green<1>,IOB,IO_L09P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P9,serial_out,IOB,IO,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P10,usb_data<6>,IOB,IO_L15N_2/D1/GCLK3,TRISTATE,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P11,ps2_data,IBUF,IO_L18P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
P12,,,NC,,,,,,,,,,,,
P13,usb_data<2>,IOB,IO_L22P_2/A23,TRISTATE,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P14,,,VCCINT,,,,,,,,1.2,,,,
P15,led_upper<1>,IOB,IO,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P16,,,NC,,,,,,,,,,,,
P17,pmod_b<4>,IBUF,IO_L06P_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
P18,pmod_d<3>,IBUF,IO_L06N_1,INPUT,LVCMOS25*,1,,,,NONE,,LOCATED,NO,NONE,
R1,,IBUF,IP,UNUSED,,3,,,,,,,,,
R2,mem_data<7>,IOB,IO_L23N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
R3,mem_data<14>,IOB,IO_L23P_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
R4,led_upper<3>,IOB,IO/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R5,flash_ce,IOB,IO_L04P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R6,mem_ce,IOB,IO_L05P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R7,,DIFFSI,IP_L08N_2,UNUSED,,2,,,,,,,,,
R8,vga_red<2>,IOB,IO_L10P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
